Launching LogDate version 1.2.1
Objective function: wLogDate
Finished initialization with random seed 171
Initial state:
mu = 0.0010304883384318012
fx = 199.396094452461
Maximum constraint violation: 1.9081958235744878e-17
| niter |f evals|CG iter|  obj func   |tr radius |   opt    |  c viol  | penalty  |barrier param|CG stop|
|-------|-------|-------|-------------|----------|----------|----------|----------|-------------|-------|
|   1   |   1   |   0   | +1.9940e+02 | 1.00e+00 | 9.23e+08 | 1.91e-17 | 1.00e+00 |  1.00e-01   |   0   |
|   2   |   2   |  225  | +5.3349e+02 | 6.25e+00 | 4.39e+08 | 3.07e-01 | 2.13e+06 |  1.00e-01   |   4   |
|   3   |   3   |  293  | +1.3816e+03 | 3.52e+01 | 1.87e+08 | 1.30e-01 | 4.27e+06 |  1.00e-01   |   4   |
|   4   |   4   |  340  | +2.1428e+03 | 6.90e+01 | 5.90e+07 | 1.71e-01 | 5.50e+06 |  1.00e-01   |   4   |
|   5   |   5   |  374  | +2.5080e+03 | 6.90e+01 | 2.13e+05 | 3.84e-01 | 5.50e+06 |  1.00e-01   |   3   |
|   6   |   6   |  385  | +2.8633e+03 | 6.90e+01 | 5.41e+03 | 2.09e-01 | 5.50e+06 |  1.00e-01   |   3   |
|   7   |   7   |  389  | +3.0676e+03 | 6.90e+01 | 2.27e+02 | 1.13e-01 | 5.50e+06 |  1.00e-01   |   3   |
|   8   |   8   |  392  | +3.2118e+03 | 7.63e+01 | 3.35e+01 | 5.21e-02 | 5.50e+06 |  1.00e-01   |   3   |
|   9   |   9   |  393  | +3.2830e+03 | 7.63e+01 | 4.13e+00 | 2.16e-02 | 5.50e+06 |  1.00e-01   |   4   |
|  10   |  10   |  395  | +2.1396e+03 | 2.14e+02 | 7.00e-01 | 6.02e-03 | 5.50e+06 |  1.00e-01   |   3   |
|  11   |  11   |  404  | +2.1396e+03 | 2.14e+01 | 7.00e-01 | 6.02e-03 | 5.50e+06 |  1.00e-01   |   2   |
|  12   |  12   |  407  | +2.1478e+03 | 2.14e+01 | 5.86e-01 | 3.27e-03 | 5.50e+06 |  1.00e-01   |   2   |
|  13   |  13   |  410  | +1.5740e+03 | 1.50e+02 | 4.08e-01 | 6.71e-04 | 5.50e+06 |  1.00e-01   |   2   |
|  14   |  14   |  417  | +1.5740e+03 | 1.50e+01 | 4.08e-01 | 6.71e-04 | 5.50e+06 |  1.00e-01   |   2   |
|  15   |  15   |  419  | +1.5108e+03 | 2.86e+01 | 3.69e-01 | 4.64e-04 | 5.50e+06 |  1.00e-01   |   2   |
|  16   |  16   |  420  | +9.9641e+02 | 1.63e+02 | 1.19e-01 | 4.36e-16 | 5.50e+06 |  1.00e-01   |   2   |
|  17   |  17   |  429  | +9.9641e+02 | 1.63e+01 | 1.19e-01 | 4.36e-16 | 5.50e+06 |  1.00e-01   |   2   |
|  18   |  18   |  431  | +7.4838e+02 | 1.14e+02 | 4.88e-02 | 1.37e-16 | 5.50e+06 |  1.00e-01   |   2   |
|  19   |  19   |  438  | +7.4838e+02 | 1.14e+01 | 4.88e-02 | 1.37e-16 | 5.50e+06 |  1.00e-01   |   2   |
|  20   |  20   |  440  | +6.1671e+02 | 8.00e+01 | 2.83e-02 | 6.07e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  21   |  21   |  445  | +6.1671e+02 | 8.00e+00 | 2.83e-02 | 6.07e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  22   |  22   |  447  | +5.4416e+02 | 5.60e+01 | 1.99e-02 | 4.25e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  23   |  23   |  450  | +5.4416e+02 | 5.60e+00 | 1.99e-02 | 4.25e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  24   |  24   |  451  | +4.9850e+02 | 3.92e+01 | 1.53e-02 | 3.47e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  25   |  25   |  453  | +4.9850e+02 | 3.92e+00 | 1.53e-02 | 3.47e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  26   |  26   |  454  | +4.6860e+02 | 2.74e+01 | 1.25e-02 | 3.08e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  27   |  27   |  456  | +4.6860e+02 | 2.74e+00 | 1.25e-02 | 3.08e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  28   |  28   |  457  | +4.4869e+02 | 1.92e+01 | 1.11e-02 | 4.51e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  29   |  29   |  458  | +3.4394e+02 | 8.63e+01 | 1.03e-02 | 3.78e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  30   |  30   |  462  | +3.4394e+02 | 8.63e+00 | 1.03e-02 | 3.78e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  31   |  31   |  463  | +2.8862e+02 | 6.04e+01 | 4.91e-03 | 3.04e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  32   |  32   |  466  | +2.8862e+02 | 6.04e+00 | 4.91e-03 | 3.04e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  33   |  33   |  467  | +2.5736e+02 | 4.23e+01 | 1.69e-03 | 2.78e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  34   |  34   |  470  | +2.5736e+02 | 4.23e+00 | 1.69e-03 | 2.78e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  35   |  35   |  471  | +2.3882e+02 | 2.96e+01 | 1.25e-03 | 3.82e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  36   |  36   |  474  | +2.3882e+02 | 2.96e+00 | 1.25e-03 | 3.82e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  37   |  37   |  475  | +2.2735e+02 | 2.07e+01 | 1.00e-03 | 2.61e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  38   |  38   |  476  | +2.0197e+02 | 4.41e+01 | 5.74e-04 | 2.86e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  39   |  39   |  482  | +2.0197e+02 | 4.41e+00 | 5.74e-04 | 2.86e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  40   |  40   |  483  | +1.8831e+02 | 3.09e+01 | 3.77e-04 | 2.54e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  41   |  41   |  487  | +1.8831e+02 | 3.09e+00 | 3.77e-04 | 2.54e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  42   |  42   |  488  | +1.8047e+02 | 2.16e+01 | 3.05e-04 | 3.17e-17 | 5.50e+06 |  1.00e-01   |   2   |
|  43   |  42   |  488  | +1.8047e+02 | 1.08e+02 | 7.68e-03 | 3.17e-17 | 1.00e+00 |  2.00e-02   |   0   |
|  44   |  43   |  494  | +1.8047e+02 | 2.05e+01 | 7.68e-03 | 3.17e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  45   |  44   |  495  | +1.1975e+02 | 1.44e+02 | 3.28e-03 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  46   |  45   |  505  | +1.1975e+02 | 2.61e+01 | 3.28e-03 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   3   |
|  47   |  46   |  512  | +1.1975e+02 | 1.26e+01 | 3.28e-03 | 2.08e-17 | 1.00e+00 |  2.00e-02   |   2   |
|  48   |  47   |  514  | +1.0233e+02 | 6.81e+01 | 1.62e-03 | 3.05e-16 | 1.00e+00 |  2.00e-02   |   2   |
